Serial,GRN30Decks[{_1}]._scale,GRN30Decks[{_2}]._scale,GRN30Decks[{_3}]._scale,GRN30Decks[{_4}]._scale,GRN30Decks[{_5}]._scale,GRN30Decks[{_6}]._scale,GRN30Decks[{_7}]._scale,GRN30Decks[{_8}]._scale,GRN30Decks[{_9}]._scale,GRN30Decks[{_10}]._scale,GRN30Decks[{_11}]._scale,GRN30Decks[{_12}]._scale,GRN30Decks[{_13}]._scale,GRN30Decks[{_14}]._scale,GRN30Decks[{_15}]._scale,GRN30Decks[{_16}]._scale,GRN30Decks[{_17}]._scale,GRN30Decks[{_18}]._scale,GRN30Decks[{_19}]._scale,GRN30Decks[{_20}]._scale,GRN30Decks[{_21}]._scale,GRN30Decks[{_22}]._scale,GRN30Decks[{_23}]._scale,GRN30Decks[{_24}]._scale,GRN30Decks[{_25}]._scale,GRN30Decks[{_26}]._scale,GRN30Decks[{_27}]._scale,GRN30Decks[{_28}]._scale,GRN30Decks[{_29}]._scale,GRN30Decks[{_30}]._scale,GRN30Decks[{_31}]._scale,GRN30Decks[{_32}]._scale,GRN30Decks[{_33}]._scale,GRN30Decks[{_34}]._scale,GRN30Decks[{_35}]._scale,GRN30Decks[{_36}]._scale,GRN30Decks[{_37}]._scale,GRN30Decks[{_38}]._scale,GRN30Decks[{_39}]._scale,GRN30Decks[{_40}]._scale,GRN30Decks[{_41}]._scale,GRN30Decks[{_42}]._scale,GRN30Decks[{_43}]._scale,GRN30Decks[{_44}]._scale,GRN30Decks[{_45}]._scale,GRN30Decks[{_46}]._scale,GRN30Decks[{_47}]._scale,GRN30Decks[{_48}]._scale,GRN30Decks[{_49}]._scale,GRN30Decks[{_50}]._scale,GRN30Decks[{_51}]._scale,GRN30Decks[{_52}]._scale,GRN30Decks[{_53}]._scale,GRN30Decks[{_54}]._scale,GRN30Decks[{_55}]._scale,GRN30Decks[{_56}]._scale,GRN30Decks[{_57}]._scale,GRN30Decks[{_58}]._scale,GRN30Decks[{_59}]._scale,GRN30Decks[{_60}]._scale,GRN30Decks[{_61}]._scale,GRN30Decks[{_62}]._scale,GRN30Decks[{_63}]._scale,GRN30Decks[{_64}]._scale,GRN30Decks[{_65}]._scale,GRN30Decks[{_66}]._scale,GRN30Decks[{_67}]._scale,GRN30Decks[{_68}]._scale,GRN30Decks[{_69}]._scale,GRN30Decks[{_70}]._scale,GRN30Decks[{_71}]._scale,GRN30Decks[{_72}]._scale,GRN30Decks[{_73}]._scale,GRN30Decks[{_74}]._scale,GRN30Decks[{_75}]._scale,GRN30Decks[{_76}]._scale,GRN30Decks[{_77}]._scale,GRN30Decks[{_78}]._scale,GRN30Decks[{_79}]._scale,GRN30Decks[{_80}]._scale,GRN30Decks[{_81}]._scale,GRN30Decks[{_82}]._scale,GRN30Decks[{_83}]._scale,GRN30Decks[{_84}]._scale,GRN30Decks[{_85}]._scale,GRN30Decks[{_86}]._scale,GRN30Decks[{_87}]._scale,GRN30Decks[{_88}]._scale,GRN30Decks[{_89}]._scale,GRN30Decks[{_90}]._scale,GRN30Decks[{_91}]._scale,GRN30Decks[{_92}]._scale,GRN30Decks[{_93}]._scale,GRN30Decks[{_94}]._scale,GRN30Decks[{_95}]._scale,GRN30Decks[{_96}]._scale,GRN30Decks[{_97}]._scale,GRN30Decks[{_98}]._scale,GRN30Decks[{_99}]._scale,GRN30Decks[{_100}]._scale,GRN30Decks[{_101}]._scale,GRN30Decks[{_102}]._scale,GRN30Decks[{_103}]._scale,GRN30Decks[{_104}]._scale,GRN30Decks[{_105}]._scale,GRN30Decks[{_106}]._scale,GRN30Decks[{_107}]._scale,GRN30Decks[{_108}]._scale,GRN30Decks[{_109}]._scale,GRN30Decks[{_110}]._scale,GRN30Decks[{_111}]._scale,GRN30Decks[{_112}]._scale,GRN30Decks[{_113}]._scale,GRN30Decks[{_114}]._scale,GRN30Decks[{_115}]._scale,GRN30Decks[{_116}]._scale,GRN30Decks[{_117}]._scale,GRN30Decks[{_118}]._scale,GRN30Decks[{_119}]._scale,GRN30Decks[{_120}]._scale,GRN30Decks[{_121}]._scale,GRN30Decks[{_122}]._scale,GRN30Decks[{_123}]._scale,GRN30Decks[{_124}]._scale,GRN30Decks[{_125}]._scale,GRN30Decks[{_126}]._scale,GRN30Decks[{_127}]._scale,GRN30Decks[{_128}]._scale,GRN30Decks[{_129}]._scale,GRN30Decks[{_130}]._scale,GRN30Decks[{_131}]._scale,GRN30Decks[{_132}]._scale,GRN30Decks[{_133}]._scale,GRN30Decks[{_134}]._scale,GRN30Decks[{_135}]._scale,GRN30Decks[{_136}]._scale,GRN30Decks[{_137}]._scale,GRN30Decks[{_138}]._scale,GRN30Decks[{_139}]._scale,GRN30Decks[{_140}]._scale,GRN30Decks[{_141}]._scale,GRN30Decks[{_142}]._scale,GRN30Decks[{_143}]._scale,GRN30Decks[{_144}]._scale,GRN30Decks[{_145}]._scale,GRN30Decks[{_146}]._scale,GRN30Decks[{_147}]._scale,GRN30Decks[{_148}]._scale,GRN30Decks[{_149}]._scale,GRN30Decks[{_150}]._scale,GRN30Decks[{_151}]._scale,GRN30Decks[{_152}]._scale,GRN30Decks[{_153}]._scale,GRN30Decks[{_154}]._scale,GRN30Decks[{_155}]._scale,GRN30Decks[{_156}]._scale,GRN30Decks[{_157}]._scale,GRN30Decks[{_158}]._scale,GRN30Decks[{_159}]._scale,GRN30Decks[{_160}]._scale,GRN30Decks[{_161}]._scale,GRN30Decks[{_162}]._scale,GRN30Decks[{_163}]._scale,GRN30Decks[{_164}]._scale,GRN30Decks[{_165}]._scale,GRN30Decks[{_166}]._scale,GRN30Decks[{_167}]._scale,GRN30Decks[{_168}]._scale,GRN30Decks[{_169}]._scale,GRN30Decks[{_170}]._scale,GRN30Decks[{_171}]._scale,GRN30Decks[{_172}]._scale,GRN30Decks[{_173}]._scale,GRN30Decks[{_174}]._scale,GRN30Decks[{_175}]._scale,GRN30Decks[{_176}]._scale,GRN30Decks[{_177}]._scale,GRN30Decks[{_178}]._scale,GRN30Decks[{_179}]._scale,GRN30Decks[{_180}]._scale,GRN30Decks[{_181}]._scale,GRN30Decks[{_182}]._scale,GRN30Decks[{_183}]._scale,GRN30Decks[{_184}]._scale,GRN30Decks[{_185}]._scale,GRN30Decks[{_186}]._scale,GRN30Decks[{_187}]._scale,GRN30Decks[{_188}]._scale,GRN30Decks[{_189}]._scale,GRN30Decks[{_190}]._scale,GRN30Decks[{_191}]._scale,GRN30Decks[{_192}]._scale,GRN30Decks[{_193}]._scale,GRN30Decks[{_194}]._scale,GRN30Decks[{_195}]._scale,GRN30Decks[{_196}]._scale,GRN30Decks[{_197}]._scale,GRN30Decks[{_198}]._scale,GRN30Decks[{_199}]._scale,GRN30Decks[{_200}]._scale,GRN30Decks[{_201}]._scale,GRN30Decks[{_202}]._scale,GRN30Decks[{_203}]._scale,GRN30Decks[{_204}]._scale,GRN30Decks[{_205}]._scale,GRN30Decks[{_206}]._scale,GRN30Decks[{_207}]._scale,GRN30Decks[{_208}]._scale,GRN30Decks[{_209}]._scale,GRN30Decks[{_210}]._scale,GRN30Decks[{_211}]._scale,GRN30Decks[{_212}]._scale,GRN30Decks[{_213}]._scale,GRN30Decks[{_214}]._scale,GRN30Decks[{_215}]._scale,GRN30Decks[{_216}]._scale,GRN30Decks[{_217}]._scale,GRN30Decks[{_218}]._scale,GRN30Decks[{_219}]._scale,GRN30Decks[{_220}]._scale,GRN30Decks[{_221a}]._scale,GRN30Decks[{_221b}]._scale,GRN30Decks[{_222a}]._scale,GRN30Decks[{_222b}]._scale,GRN30Decks[{_223a}]._scale,GRN30Decks[{_223b}]._scale,GRN30Decks[{_224a}]._scale,GRN30Decks[{_224b}]._scale,GRN30Decks[{_225a}]._scale,GRN30Decks[{_225b}]._scale,GRN30Decks[{_226a}]._scale,GRN30Decks[{_226b}]._scale,GRN30Decks[{_227a}]._scale,GRN30Decks[{_227b}]._scale,GRN30Decks[{_228a}]._scale,GRN30Decks[{_228b}]._scale,GRN30Decks[{_229a}]._scale,GRN30Decks[{_229b}]._scale,GRN30Decks[{_230a}]._scale,GRN30Decks[{_230b}]._scale,GRN30Decks[{_231}]._scale,GRN30Decks[{_232}]._scale,GRN30Decks[{_233}]._scale,GRN30Decks[{_234}]._scale,GRN30Decks[{_235}]._scale,GRN30Decks[{_236}]._scale,GRN30Decks[{_237}]._scale,GRN30Decks[{_238}]._scale,GRN30Decks[{_239}]._scale,GRN30Decks[{_240}]._scale,GRN30Decks[{_241}]._scale,GRN30Decks[{_242}]._scale,GRN30Decks[{_243}]._scale,GRN30Decks[{_244}]._scale,GRN30Decks[{_245}]._scale,GRN30Decks[{_246}]._scale,GRN30Decks[{_247}]._scale,GRN30Decks[{_248}]._scale,GRN30Decks[{_249}]._scale,GRN30Decks[{_250}]._scale,GRN30Decks[{_251}]._scale,GRN30Decks[{_252}]._scale,GRN30Decks[{_253}]._scale,GRN30Decks[{_254}]._scale,GRN30Decks[{_255}]._scale,GRN30Decks[{_256}]._scale,GRN30Decks[{_257}]._scale,GRN30Decks[{_258}]._scale,GRN30Decks[{_259}]._scale,GRN30Decks[{_260}]._scale,GRN30Decks[{_261}]._scale,GRN30Decks[{_262}]._scale,GRN30Decks[{_263}]._scale,GRN30Decks[{_264}]._scale,GRN30Decks[{_265}]._scale,GRN30Decks[{_266}]._scale,GRN30Decks[{_267}]._scale,GRN30Decks[{_268}]._scale,GRN30Decks[{_269}]._scale,GRN30Decks[{_270}]._scale,GRN30Decks[{_271}]._scale,GRN30Decks[{_272}]._scale,GRN30Decks[{_273}]._scale
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,6,0,0,0,0,0,0,0,0,0
23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,6,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0,0
